customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
id7092,Female,0,No,Yes,4.15,No,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,92.02,326.54,Yes
id7093,Female,0,Yes,Yes,39.2071882401,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),54.3959966246,264.85,No
id7094,Female,0,Yes,No,45.6550142507,No,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,48.8268139263,5968.4,No
id7095,Female,0,Yes,No,32.0905179578,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),75.7685827412,3838.75,No
id7096,Female,0,No,Yes,20.6415482945,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,Two year,No,Electronic check,59.206110126,1067.15,No
id7097,Female,0,No,No,28.7493771437,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),38.5035072115,758.6,No
id7098,Male,0,Yes,No,4.25,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,98.55,262.4,Yes
id7099,Female,0,Yes,Yes,1.58,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,84.06,106.02,Yes
id7100,Female,1,Yes,No,19.8460982002,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),67.9935002155,1266.35,No
id7101,Female,0,No,No,4.21,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,113.58,275.32,No
id7102,Female,0,Yes,No,5.65,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,106.21,282.24,No
id7103,Male,0,Yes,No,2.64,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,88.33,104.07,No
id7104,Male,0,No,No,5.73,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.81,319.42,Yes
id7105,Female,0,Yes,No,1.89,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,108.15,92.9,Yes
id7106,Male,0,No,No,1.55,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,103.37,407.77,Yes
id7107,Male,0,No,No,33.4955022185,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),74.0260100738,181.7,No
id7108,Female,0,No,No,28.7902045338,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Mailed check,77.8297575786,1875.25,No
id7109,Male,0,No,Yes,3.98,Yes,Yes,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,104.94,4.66,No
id7110,Female,0,No,Yes,44.320610072,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,No,Two year,No,,58.3284336105,2404.85,
id7111,Male,0,Yes,Yes,38.1670548953,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,77.3899472094,1430.05,No
id7112,Male,1,No,Yes,52.3217101775,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.2915973244,1468.75,No
id7113,Male,0,Yes,No,4.4,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,93.09,52.76,No
id7114,Female,0,No,Yes,5.06,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,71.45,364.39,Yes
id7115,Female,0,No,Yes,5.65,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,86.27,362.36,No
id7116,Female,0,Yes,No,1.4861740127,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,76.1244653245,1304.85,Yes
id7117,Female,0,Yes,No,39.7090820913,No,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,72.4521870787,3824.2,No
id7118,Female,0,Yes,Yes,63.4865677734,Yes,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,60.5765175604,146.3,No
id7119,Female,1,Yes,No,36.7644184274,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,One year,Yes,Electronic check,46.7557461877,692.1,No
id7120,Female,0,Yes,No,1.68,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,93.6,37.18,Yes
id7121,Female,0,No,Yes,39.0136568485,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,61.0963421248,914.3,No
id7122,Male,1,Yes,No,38.410632612,Yes,No,DSL,No,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),59.0933328173,5913.95,No
id7123,Male,1,No,No,59.3259566265,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,58.1722540378,830.8,No
id7124,Male,1,Yes,No,0.1,No,No,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.43,409.05,Yes
id7125,Female,1,Yes,No,2.82,Yes,No,No,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,97.97,262.74,No
id7126,Male,0,Yes,No,2.7,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,102.61,25.5,Yes
id7127,Female,1,No,Yes,4.84,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,75.04,349.1,No
id7128,Male,0,No,No,2.04,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,105.98,137.57,No
id7129,Female,1,Yes,No,21.2270604946,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),72.1304097129,415.55,No
id7130,Female,1,Yes,No,39.5060994261,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),69.267573125,1534.75,No
id7131,Female,0,Yes,Yes,36.5829091643,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),73.3364749255,2965.75,No
id7132,Male,0,No,Yes,45.6103527653,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),51.0478127411,71,No
id7133,Female,0,No,Yes,30.1161670835,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Mailed check,50.1252509008,4667,No
id7134,Female,0,Yes,No,20.734055436,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,37.1787360653,70,No
id7135,Female,0,Yes,Yes,0.26,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.01,367.86,Yes
id7136,Male,0,Yes,No,1.89,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,90.05,204.1,Yes
id7137,Female,0,Yes,No,4.54,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,82.82,182.26,Yes
id7138,Female,0,Yes,No,24.8583398168,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,76.3405218059,49.8,No
id7139,Male,0,No,Yes,1.85,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,77.0,296.99,Yes
id7140,Male,0,Yes,Yes,5.92,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,86.45,266.59,No
id7141,Male,1,No,No,33.2365425402,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),72.4364690528,2861.45,No
id7142,Male,0,No,No,53.6598044817,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,67.4281411936,4378.9,No
id7143,Male,0,No,Yes,5.41,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,102.19,193.84,No
id7144,Male,0,Yes,No,48.1667123848,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,90.2419202368,1563.9,No
id7145,Male,0,No,Yes,44.1425226665,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,82.1377780304,44.4,No
id7146,Female,0,Yes,No,1.67,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,112.77,198.33,No
id7147,Male,0,Yes,No,3.2,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,107.46,433.29,No
id7148,Male,0,No,Yes,27.1587259907,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,56.1756459984,2016.45,No
id7149,Female,1,Yes,Yes,2.87,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.74,419.04,No
id7150,Male,0,No,No,3.34,Yes,No,DSL,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,119.13,386.77,No
id7151,Female,0,Yes,Yes,2.72,Yes,No,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,93.4,287.54,No
id7152,Male,0,No,No,2.79,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,86.52,110.2,No
id7153,Male,0,Yes,Yes,3.4,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,112.19,365.23,No
id7154,Female,0,No,No,36.5693722418,Yes,Yes,No,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),48.524694061,5760.65,No
id7155,Female,0,No,Yes,5.62,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,99.59,244.26,No
id7156,Male,0,Yes,No,26.7228974731,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,54.4348035882,512.25,No
id7157,Female,0,Yes,Yes,1.44,Yes,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,97.39,138.36,No
id7158,Male,0,Yes,No,30.9741987024,Yes,No,No,No,Yes,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,50.6130562305,18.9,No
id7159,Male,0,No,No,2.11,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,108.04,436.43,Yes
id7160,Male,0,No,No,1.98,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,82.94,63.78,No
id7161,Female,0,No,No,43.6867775889,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),55.6490033283,962.25,No
id7162,Male,0,Yes,No,36.9230804338,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,No,,46.0722293155,612.1,
id7163,Male,0,No,No,5.45,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,76.34,437.81,No
id7164,Female,0,Yes,No,27.8657467096,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,53.3207516259,6766.95,No
id7165,Male,0,Yes,Yes,54.3515712933,Yes,No,No,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Electronic check,71.0258481706,6000.1,No
id7166,Male,0,Yes,Yes,48.346235309,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,Two year,Yes,Mailed check,50.8114032404,3959.15,No
id7167,Female,1,No,No,0.65,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,98.73,60.47,Yes
id7168,Male,0,No,No,0.09,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,94.42,287.94,No
id7169,Female,1,Yes,Yes,41.6300027341,No,No,No,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),62.1001733011,533.9,No
id7170,Female,0,Yes,No,31.8620728456,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),55.6449494221,1047.7,No
id7171,Male,0,No,No,2.93,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.08,347.26,Yes
id7172,Female,0,Yes,No,37.6362936994,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),51.7890930492,658.95,No
id7173,Female,0,No,Yes,5.49,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,86.87,251.62,Yes
id7174,Female,0,No,Yes,43.1209651584,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,44.1043750647,2780.6,No
id7175,Male,0,Yes,No,38.4024868865,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),70.8135654837,86.35,No
id7176,Female,0,No,No,21.937007347,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,72.9964153911,3887.85,No
id7177,Female,0,No,No,25.6308179487,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.7910353222,1341.5,No
id7178,Female,0,Yes,Yes,30.1212598194,No,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),62.6652394319,1901.65,No
id7179,Female,1,Yes,No,42.1426293428,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.8188823229,7548.1,No
id7180,Male,1,No,No,0.26,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,84.36,326.41,Yes
id7181,Female,1,Yes,No,26.0752035208,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,73.5002662325,314.6,No
id7182,Female,0,No,No,1.34,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,76.22,336.02,Yes
id7183,Female,0,No,No,22.6479035247,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.2374665534,209.1,No
id7184,Female,0,No,No,40.5010387539,Yes,Yes,No,No internet service,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),105.502667895,288.05,No
id7185,Female,0,No,No,3.16,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,114.81,Yes
id7186,Female,0,Yes,No,1.36,Yes,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,104.93,190.6,No
id7187,Male,1,No,No,2.89,Yes,Yes,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,71.78,473.37,No
id7188,Male,0,No,No,0.83,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,101.43,277.93,No
id7189,Male,0,No,Yes,3.25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.06,399.77,Yes
id7190,Male,0,No,Yes,1.87,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,78.46,130.25,Yes
id7191,Female,0,No,No,29.4290073783,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.3085170646,669.45,No
id7192,Female,0,Yes,Yes,35.6590930984,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),71.6631616291,6292.7,No
id7193,Male,0,No,Yes,44.3557603792,Yes,Yes,No,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),56.4300473857,364.55,No
id7194,Female,0,No,No,5.32,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.75,441.21,No
id7195,Female,1,Yes,No,31.7857300376,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Two year,Yes,Mailed check,67.2477718478,1374.35,No
id7196,Female,0,Yes,No,39.3361865886,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.8873855502,6890,No
id7197,Male,1,No,Yes,19.1154443231,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),72.051594753,324.8,No
id7198,Female,0,No,Yes,4.18,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,92.31,464.75,Yes
id7199,Male,0,No,Yes,25.5384899532,Yes,No phone service,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),60.5748873296,1022.95,No
id7200,Male,0,Yes,No,32.897591921,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),45.2914579593,7030.65,No
id7201,Male,1,Yes,No,3.01,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,107.22,134.69,Yes
id7202,Female,0,Yes,No,2.4,No,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,107.84,452.39,Yes
id7203,Male,0,No,Yes,0.48,No,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,110.14,171.72,Yes
id7204,Female,0,Yes,No,1.93,Yes,No,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,93.35,318.24,No
id7205,Female,0,Yes,No,2.76,No,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,106.51,35.29,Yes
id7206,Female,0,No,No,27.7428721116,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),61.5216114512,5084.65,No
id7207,Female,0,Yes,No,0.01,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,106.36,345.09,Yes
id7208,Female,0,Yes,Yes,4.63,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,106.24,61.55,Yes
id7209,Male,0,No,No,34.7381468998,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,51.5786983868,6350.5,No
id7210,Male,0,No,No,26.9614277464,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,Two year,Yes,,67.2731871859,7713.55,
id7211,Female,1,Yes,No,34.9242601346,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,75.4933282605,1023.9,No
id7212,Female,1,No,Yes,43.9765115446,Yes,No,DSL,No,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),91.5561122563,4539.6,No
id7213,Male,0,No,No,31.2355088579,Yes,No phone service,No,Yes,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),88.0069108855,1871.15,No
